case,num,MN,FCFS max_delay,last lane change max_delay,out_lane_change max_delay,FCFS mean_delay,last lane change mean_delay,out_lane_change mean_delay,FCFS maxe,last lane change maxe,out_lane_change maxe,milp time,fcfs time,heuristic time
04_3_20,1,3_4,5.150000000000002,6.440000000000001,9.98,1.921666666666667,2.0127777777777784,3.4727777777777784,25,25,27,0.1086438496907552,0.0007010777791341146,0.0007806380589803059
04_3_20,2,3_4,12.469999999999999,12.32,9.260000000000002,3.745217391304348,3.745217391304348,2.9991304347826087,31,31,26.69,0.12818668683369955,0.0013361454010009765,0.0013355016708374023
04_3_20,3,3_4,12.84,12.84,13.61,5.34375,5.34375,5.7579166666666675,31.47,31.47,31.23,0.18367942174275717,0.0017415682474772136,0.0020598888397216795
04_3_20,4,3_4,7.619999999999997,7.619999999999997,5.700000000000001,2.811111111111111,2.811111111111111,2.3405555555555555,26,27.47,23,0.15209066073099772,0.0023025830586751303,0.0011427005132039387
04_3_20,5,3_4,7.27,8.02,6.649999999999997,2.700555555555555,2.700555555555555,2.0938888888888885,25.6,25.6,22.45,0.1933292309443156,0.0023618300755818685,0.0015046199162801106
04_3_20,6,3_4,8.68,9.379999999999999,8.379999999999999,3.2357894736842105,3.4831578947368422,2.851578947368421,28.3,29,27.3,0.18627326488494872,0.0016812324523925782,0.0013223409652709961
04_3_20,7,3_4,6.739999999999998,6.739999999999998,7.469999999999999,2.786190476190476,2.738571428571428,2.9957142857142856,25,24,26.85,0.15344447294871014,0.0012608051300048828,0.0012186288833618164
04_3_20,8,3_4,15.54,14.54,11.420000000000002,4.749642857142858,4.713928571428571,4.1067857142857145,35,34,30,0.3111609935760498,0.0028185526529947917,0.0027733008066813153
04_3_20,9,3_4,13.060000000000002,13.590000000000003,10.970000000000002,4.0128,4.0128,3.4055999999999997,31.45,31.45,29,0.17133545875549316,0.0016469637552897136,0.0015487035115559896
04_3_20,10,3_4,10.46,13.430000000000003,8.690000000000001,3.748076923076923,4.060769230769231,3.2146153846153847,28.740000000000002,32.74,27,0.19702853361765543,0.0016007184982299804,0.001327641805013021
04_3_40,1,3_4,19.47,21.47,15.469999999999999,7.076756756756756,7.265945945945946,5.447567567567567,56,57,48,0.4007237672805786,0.003359484672546387,0.003935702641805013
04_3_40,2,3_4,35.65,33.54,28.060000000000002,12.95326530612245,12.63326530612245,9.836326530612245,75,73,65,0.7231712182362874,0.00608980655670166,0.006403811772664388
04_3_40,3,3_4,20.299999999999997,20.299999999999997,17.96,9.57695652173913,9.324782608695651,8.467173913043476,59,58.35,55,0.5393004496892293,0.005776143074035645,0.0062761068344116214
04_3_40,4,3_4,34.760000000000005,36.760000000000005,30.369999999999997,15.105471698113208,15.199811320754717,12.377169811320755,71,73,68,0.7158713817596436,0.005918812751770019,0.006271505355834961
04_3_40,5,3_4,31.260000000000005,30.260000000000005,25.660000000000004,10.556153846153846,12.387692307692308,8.914423076923077,69,68,65,0.795387864112854,0.007843573888142904,0.007900730768839518
04_3_40,6,3_4,25.65,25.65,19.65,9.19452380952381,9.313571428571429,6.343095238095239,65,65,59,0.8732592821121216,0.005615631739298503,0.004349303245544433
04_3_40,7,3_4,12.68,12.829999999999998,7.890000000000001,4.73027027027027,4.972702702702703,3.2640540540540544,48.06,48.06,47,0.5263061205546061,0.004400404294331869,0.005781483650207519
04_3_40,8,3_4,31.239999999999995,26.239999999999995,17.589999999999996,9.587777777777777,9.59222222222222,7.966444444444444,71,66,57.04,0.8235137542088826,0.006760740280151367,0.006908305486043294
04_3_40,9,3_4,16.78,16.610000000000007,11.610000000000007,6.799473684210527,6.80421052631579,4.453947368421054,50,53.11,47,0.4251334985097249,0.003596226374308268,0.003408193588256836
04_3_40,10,3_4,28.07,29.629999999999995,27.21999999999999,12.336730769230769,12.786923076923076,9.820769230769232,68,67,67,0.9339934349060058,0.00818616549173991,0.007027578353881836
04_3_60,1,3_4,58.51,67.65,58.51,26.52032786885246,24.202786885245903,22.688032786885245,117,127,117,2.0976717313130697,0.010042079289754232,0.009840178489685058
04_3_60,2,3_4,60.220000000000006,50.46000000000001,60.220000000000006,20.377246376811595,19.200289855072466,18.35855072463768,119,110,119,1.5489180405934653,0.011465072631835938,0.011855189005533855
04_3_60,3,3_4,58.010000000000005,59.010000000000005,56.010000000000005,23.350615384615388,23.464307692307695,22.269538461538463,117,118,114,1.643046220143636,0.009430591265360515,0.00903943379720052
04_3_60,4,3_4,70.81,69.86000000000001,62.81000000000001,28.52776315789474,29.73434210526316,25.38671052631579,130,129,122,1.7799845933914185,0.013906145095825195,0.013144652048746744
04_3_60,5,3_4,63.690000000000005,58.46,50.690000000000005,20.430253164556962,22.88607594936709,17.16506329113924,122.23,117,109.23,1.796713916460673,0.01699961026509603,0.016239349047342935
04_3_60,6,3_4,60.459999999999994,59.62,50.459999999999994,22.607272727272726,22.080757575757573,16.16621212121212,119,119,109,1.824660603205363,0.0136793851852417,0.012299625078837077
04_3_60,7,3_4,23.130000000000003,23.490000000000002,19.110000000000007,10.921923076923079,10.381538461538463,8.912307692307694,78,83,78,0.9292923291524251,0.006647825241088867,0.006561557451883952
04_3_60,8,3_4,43.27,47.63999999999999,41.910000000000004,16.655806451612904,15.609838709677419,14.185,102,106,96,1.295435913403829,0.009967819849650065,0.009723917643229166
04_3_60,9,3_4,53.55000000000001,50.35,52.55000000000001,17.175454545454546,16.58606060606061,15.205757575757577,113,109,112,1.7325545310974122,0.011598881085713704,0.014926465352376302
04_3_60,10,3_4,76.02,67.79,56.790000000000006,26.785600000000002,25.2256,21.878933333333332,135,127,116,1.8669759035110474,0.015264391899108887,0.018119295438130695
06_3_20,1,3_4,14.420000000000002,14.420000000000002,12.88,6.389642857142857,6.389642857142857,5.9775,32.42,32.42,28.42,0.2044879674911499,0.002361329396565755,0.0023532390594482424
06_3_20,2,3_4,8.480000000000002,8.480000000000002,8.480000000000002,3.5168181818181825,3.471363636363637,3.0131818181818186,26.23,26.23,24.33,0.129272198677063,0.0015657822291056315,0.0015215714772542318
06_3_20,3,3_4,11.950000000000003,11.950000000000003,12.089999999999998,5.478888888888889,5.478888888888889,5.21962962962963,30,30,27,0.20817397435506185,0.0022896766662597657,0.0029597123463948566
06_3_20,4,3_4,15.77,17.39,10.43,6.380625000000001,6.166250000000001,5.034375000000001,34,37,29.48,0.2935539086659749,0.003186806042989095,0.003366231918334961
06_3_20,5,3_4,26.98,26.98,23.03,10.311111111111112,10.59361111111111,8.477222222222222,45.43,45.43,43,0.3826506773630778,0.0036367019017537433,0.003542741139729818
06_3_20,6,3_4,19.760000000000005,18.760000000000005,14.560000000000002,6.6732258064516135,6.533870967741936,5.354516129032259,39,37.870000000000005,33.8,0.2898934523264567,0.002905837694803874,0.004178730646769205
06_3_20,7,3_4,21.51,21.51,18.51,7.613214285714286,7.992857142857143,6.838214285714286,38.81,38.81,34.81,0.3271821657816569,0.00285034974416097,0.002177707354227702
06_3_20,8,3_4,22.720000000000006,22.720000000000006,15.5,7.480937500000001,7.251562500000001,6.3053125,42.370000000000005,42.370000000000005,34.15,0.2769527832667033,0.0032316128412882487,0.003155684471130371
06_3_20,9,3_4,11.34,10.52,10.630000000000003,5.079166666666667,4.9125000000000005,5.240000000000001,30.3,29.58,28,0.2967814604441325,0.002645254135131836,0.0022701104482014973
06_3_20,10,3_4,17.61,17.29,12.61,6.070689655172414,5.716206896551724,4.596206896551724,37,36.68,31.009999999999998,0.24806952476501465,0.0025695164998372397,0.002596147855122884
06_3_40,1,3_4,36.319999999999986,41.809999999999995,28.79,14.97381818181818,14.551636363636362,11.563636363636363,69.50999999999999,79,65,0.8805211782455444,0.009380658467610678,0.009384218851725261
06_3_40,2,3_4,49.7,49.7,36.7,18.065151515151516,18.86469696969697,15.670151515151515,89,89,76,1.4044492642084758,0.019953314463297525,0.01923192342122396
06_3_40,3,3_4,51.54999999999999,51.54999999999999,35.01,18.021129032258067,20.448870967741932,12.875967741935485,91.53999999999999,91.53999999999999,75,1.2826520204544067,0.012037269274393718,0.010265040397644042
06_3_40,4,3_4,45.12,45.93,34.56,15.306779661016948,17.0971186440678,11.777966101694915,84.19,85,74,0.7141935745875041,0.00967854658762614,0.009425886472066243
06_3_40,5,3_4,32.29,30.479999999999997,22.41,14.004181818181817,13.732,10.163272727272727,72,70.07,60,0.4745953639348348,0.00654911994934082,0.006189107894897461
06_3_40,6,3_4,53.67,49.55,41.55,19.37238095238095,18.629682539682538,15.599206349206348,93,89,81,0.761187998453776,0.01089016596476237,0.009601839383443196
06_3_40,7,3_4,46.76,48.76,33.92,20.905573770491806,20.821967213114753,15.65672131147541,82,84,69,0.9111905177434285,0.009488701820373535,0.010943396886189779
06_3_40,8,3_4,42.13,41.690000000000005,37.13,13.250169491525424,14.012881355932205,12.315084745762714,82,81,77,0.7220444281895956,0.007311717669169108,0.00732423464457194
06_3_40,9,3_4,53.55,53.55,44.629999999999995,20.2610447761194,20.297164179104477,17.065671641791045,92.78999999999999,92.78999999999999,83.78999999999999,0.8241184949874878,0.00882570743560791,0.008916775385538736
06_3_40,10,3_4,53.92,49.95,48.11000000000001,21.029264705882355,21.588823529411766,16.912058823529414,92.97,88,87,1.7691382010777792,0.017063140869140625,0.02136389414469401
06_3_60,1,3_4,87.03999999999999,91.03999999999999,80.03999999999999,34.14288888888888,35.330555555555556,31.17611111111111,147,151,140,2.2696377833684287,0.019092758496602375,0.022086699803670246
06_3_60,2,3_4,99.25999999999999,94.25999999999999,99.25999999999999,37.83571428571428,36.81880952380952,35.304880952380955,158,153,158,2.4077130556106567,0.017007478078206382,0.01672210693359375
06_3_60,3,3_4,83.84,92.62,83.84,29.979662921348314,30.119775280898878,28.057640449438203,142,152.18,142,2.047485097249349,0.020493706067403156,0.022130656242370605
06_3_60,4,3_4,83.22999999999999,75.22999999999999,80.22999999999999,27.30081395348837,24.992906976744184,25.12348837209302,143,135,140,1.5915791670481363,0.018387460708618165,0.01933900515238444
06_3_60,5,3_4,108.66,104.66,108.66,44.26558823529412,42.01147058823529,40.78382352941176,168,164,168,1.9187848806381225,0.02613514264424642,0.025402228037516277
06_3_60,6,3_4,85.58,74.58,75.58,29.48274725274725,29.761868131868127,24.489450549450545,145,134,135,1.7569751342137654,0.02215588092803955,0.020597418149312336
06_3_60,7,3_4,97.89000000000001,102.26,96.52000000000001,34.73378640776699,38.53961165048544,32.25689320388349,157,159,155,2.052356314659119,0.02362829049428304,0.0283233642578125
06_3_60,8,3_4,98.19,105.67999999999999,96.19,40.992978723404256,36.98968085106383,38.950425531914895,156,165,155,2.475418202082316,0.024817617734273274,0.026050829887390138
06_3_60,9,3_4,84.52,93.52,83.52,33.854479166666664,37.9378125,30.078437499999996,144,153,143,1.8730820020039876,0.024556668599446614,0.021637892723083495
06_3_60,10,3_4,89.9,87.15,75.99000000000001,35.25475247524753,33.5380198019802,30.23059405940594,149,145.25,135,2.5855479637781777,0.030286097526550294,0.03192422389984131
08_3_20,1,3_4,27.28,27.28,17.53,11.25871794871795,11.25871794871795,7.68974358974359,47.06,47.06,36.06,0.24111628532409668,0.0036650896072387695,0.0038696050643920897
08_3_20,2,3_4,16.509999999999998,16.11,12.84,6.34625,6.28375,5.9384375,34.14,33.14,32,0.2829072634379069,0.0026528517405192058,0.0029221534729003905
08_3_20,3,3_4,32.379999999999995,32.379999999999995,22.17,13.141904761904762,13.141904761904762,10.577619047619047,51,51,41,0.4915754874547323,0.008322795232137045,0.007786957422892252
08_3_20,4,3_4,27.260000000000005,27.260000000000005,20.04,12.0545,12.0545,9.6215,46.980000000000004,46.980000000000004,39.18,0.17341935634613037,0.0036771615346272786,0.003959131240844726
08_3_20,5,3_4,28.029999999999998,28.029999999999998,21.46,11.57372093023256,11.57372093023256,9.495348837209303,47.32,47.32,41.11,0.27510376771291095,0.005833951632181803,0.005835843086242676
08_3_20,6,3_4,21.919999999999998,21.919999999999998,17.68,8.787297297297297,8.787297297297297,8.048918918918918,40.04,40.04,37,0.2331506888071696,0.0029466867446899412,0.0030892213185628255
08_3_20,7,3_4,21.44,22.450000000000003,16.6,9.516562500000001,9.891562500000001,8.3103125,40,40,34,0.26680003801981605,0.0030783812204996743,0.004512715339660645
08_3_20,8,3_4,33.86,33.86,26.630000000000003,12.916428571428572,12.916428571428572,10.929523809523811,53,53,46,0.2728602329889933,0.004390120506286621,0.005168048540751139
08_3_20,9,3_4,32.89,32.89,21.169999999999998,12.044390243902438,12.044390243902438,10.594146341463414,52.769999999999996,52.769999999999996,40,0.24281262556711833,0.004103541374206543,0.004151741663614909
08_3_20,10,3_4,33.75,33.75,27.729999999999997,15.551136363636362,15.551136363636362,12.693863636363634,53.3,53.3,44.129999999999995,0.308329693476359,0.0058030843734741214,0.006966996192932129
08_3_40,1,3_4,63.089999999999996,61.26,49.730000000000004,23.473750000000003,23.556527777777777,18.49555555555556,102,100.17,89,0.938455049196879,0.013999581336975098,0.011699072519938151
08_3_40,2,3_4,36.690000000000005,39.410000000000004,34.4,16.80984126984127,17.904126984126986,14.222857142857144,76.28,79,73.28,0.6197050491968791,0.00861970583597819,0.008778619766235351
08_3_40,3,3_4,43.12,43.12,36.26,19.668732394366195,19.35887323943662,17.57816901408451,83,83,72,0.7589401006698608,0.01225286324818929,0.01192909876505534
08_3_40,4,3_4,69.09,69.42,50.209999999999994,26.233636363636364,26.435844155844155,20.893376623376625,107,107.03,90,1.0602523803710937,0.014270520210266114,0.014685225486755372
08_3_40,5,3_4,71.53,70.68,53.53,25.674936708860763,26.254177215189877,21.13240506329114,111,109.06,92.06,0.897408374150594,0.01763155460357666,0.015655342737833658
08_3_40,6,3_4,61.0,58.0,44.0,22.36552631578947,21.957631578947368,19.8725,101,97,83,0.9993125995000204,0.014889947573343913,0.014766589800516764
08_3_40,7,3_4,70.62,72.07,44.379999999999995,26.97905405405405,27.952837837837837,18.514459459459456,110,111.69,84,0.9773048480351766,0.013300720850626628,0.012500413258870443
08_3_40,8,3_4,51.01,53.01,43.63,20.334492753623188,20.598840579710146,16.959130434782608,90,91,82,0.8542231798171998,0.012374369303385417,0.010926040013631184
08_3_40,9,3_4,80.78,78.42,65.42,34.138314606741574,31.374269662921346,27.670337078651684,120,118,105,1.0988730986913045,0.016419180234273276,0.0177216370900472
08_3_40,10,3_4,61.92,61.92,50.28,28.842168674698797,28.842168674698797,24.64409638554217,101.34,101.34,90,0.8626747131347656,0.016710893313090006,0.015851370493570962
08_3_60,1,3_4,131.82999999999998,131.39,130.39,51.696666666666665,50.86239316239316,48.05358974358974,191,191,190,2.1741939306259157,0.031330410639444986,0.03189806938171387
08_3_60,2,3_4,110.39999999999999,116.39999999999999,107.03999999999999,45.49232142857143,45.585625,40.85401785714286,170,176,166,2.5786110321680704,0.030979418754577638,0.03146649201711019
08_3_60,3,3_4,106.89,106.17,103.47999999999999,40.19385321100918,40.287798165137616,34.68926605504587,166.16,165,163,2.3541324536005654,0.029508805274963378,0.027447120348612467
08_3_60,4,3_4,121.75,117.16,110.75,45.483916666666666,45.43391666666667,39.39425,181,177,170,2.508531188964844,0.04844909509023031,0.045063869158426924
08_3_60,5,3_4,96.03,93.97,78.03,37.1707476635514,39.50719626168224,33.1703738317757,156,153,138,3.4848495642344157,0.04936139583587647,0.05058616002400716
08_3_60,6,3_4,141.23000000000002,129.49,140.81,56.48912000000001,52.17976,50.07296,201,188,200,5.831697193781535,0.08212040265401205,0.08625038464864095
08_3_60,7,3_4,111.47999999999999,102.47999999999999,104.47999999999999,41.71208695652174,42.7115652173913,36.46826086956521,171,162,164,5.927662507692973,0.10260308583577474,0.10901678403218587
08_3_60,8,3_4,105.59,110.46000000000001,83.59,44.715087719298246,45.380175438596495,39.46850877192983,165,170,142,7.149180968602498,0.09360414346059164,0.08624774614969889
08_3_60,9,3_4,117.23,118.03,105.03,46.741880341880346,49.625470085470084,41.39786324786325,176,178,165,7.251943747202556,0.10176955064137777,0.09802280267079672
08_3_60,10,3_4,121.04999999999998,101.04999999999998,119.04999999999998,41.82056074766355,38.78953271028037,39.13383177570093,181,161,179,2.183268936475118,0.02390453815460205,0.028423746426900227
04_3_20,1,3_5,6.300000000000001,7.440000000000001,13.780000000000001,2.289444444444445,2.4561111111111114,4.300555555555556,25.02,26,30.55,0.18542686303456624,0.000784595807393392,0.0008424997329711914
04_3_20,2,3_5,11.170000000000002,11.219999999999999,11.170000000000002,3.9939130434782606,4.113478260869565,4.017391304347826,31.1,31.1,31.1,0.39840282599131266,0.002293086051940918,0.004461757342020671
04_3_20,3,3_5,13.080000000000002,13.080000000000002,13.61,5.790416666666666,5.790416666666666,5.941666666666666,30.71,30.71,30.23,0.23311920960744223,0.0018596967061360677,0.0021791934967041017
04_3_20,4,3_5,6.369999999999997,6.369999999999997,5.700000000000001,2.5433333333333334,2.687222222222222,2.4294444444444445,25,25,25,0.29348068237304686,0.0014922062555948893,0.002262727419535319
04_3_20,5,3_5,5.799999999999999,5.799999999999999,4.490000000000002,2.0338888888888884,2.0338888888888884,1.4644444444444442,21,22,21,0.14992460409800212,0.0012122154235839843,0.0010548273722330729
04_3_20,6,3_5,10.64,10.64,10.64,3.9078947368421058,3.9078947368421058,3.713684210526316,29.3,29.3,29.3,0.487298583984375,0.0016659418741861978,0.0016273180643717447
04_3_20,7,3_5,5.640000000000001,5.789999999999999,7.619999999999997,2.805238095238095,2.7576190476190474,3.7042857142857137,24,24.85,25,0.2468530019124349,0.0013364632924397787,0.001236557960510254
04_3_20,8,3_5,13.940000000000001,13.940000000000001,13.54,4.629642857142858,4.629642857142858,4.629642857142858,33,33,33,0.41331687768300374,0.0021016677220662434,0.002256449063618978
04_3_20,9,3_5,14.61,14.89,14.61,4.8884,4.5284,4.2804,31.45,32.45,31.45,0.4755451440811157,0.001721652348836263,0.0016901334126790365
04_3_20,10,3_5,13.09,13.09,11.09,4.682307692307693,4.674615384615385,4.090769230769231,32.18,32.18,30.18,0.4984904368718465,0.0019532918930053713,0.0018311738967895508
04_3_40,1,3_5,13.469999999999999,14.859999999999996,13.469999999999999,5.822702702702702,6.586216216216216,5.465945945945945,49,49.65,48.65,0.7471681833267212,0.004090952873229981,0.0035213549931844075
04_3_40,2,3_5,29.869999999999997,29.869999999999997,29.869999999999997,12.393469387755102,12.384897959183673,10.054285714285715,69.33,69.33,69.33,2.4195839961369834,0.006135710080464681,0.006820074717203776
04_3_40,3,3_5,22.490000000000002,23.96,18.059999999999995,9.245652173913042,10.183043478260869,8.458260869565216,59,61,53,1.3977379083633423,0.005400276184082032,0.005660843849182129
04_3_40,4,3_5,34.37,34.37,32.37,14.394716981132076,14.316792452830189,12.43377358490566,71,71,70,1.2999292135238647,0.007333564758300781,0.00720666249593099
04_3_40,5,3_5,27.260000000000005,28.260000000000005,27.260000000000005,10.468076923076923,10.103846153846153,8.465961538461539,65.03999999999999,67,65,1.3314299265543619,0.006674909591674804,0.0063342094421386715
04_3_40,6,3_5,25.65,23.65,21.65,8.500714285714286,9.476904761904763,7.050238095238096,65,63,61,2.4279804468154906,0.007825803756713868,0.0077726523081461584
04_3_40,7,3_5,11.68,13.68,11.68,4.871621621621622,5.333783783783784,4.383783783783784,51,52,51,1.318635924657186,0.006053511301676432,0.004577358563741048
04_3_40,8,3_5,25.549999999999997,22.239999999999995,22.239999999999995,8.409999999999998,8.854444444444443,6.934444444444443,65,62,62,2.159062155087789,0.006302348772684733,0.007251191139221192
04_3_40,9,3_5,12.020000000000003,12.020000000000003,12.020000000000003,5.292105263157896,5.27842105263158,5.028947368421053,50,51,50,1.0665915568669637,0.0038940032323201497,0.0036617517471313477
04_3_40,10,3_5,25.21999999999999,25.07,25.21999999999999,10.243461538461537,10.020576923076922,9.829230769230767,63,65,60.01,1.5718695878982545,0.006480765342712402,0.006818787256876627
04_3_60,1,3_5,64.50999999999999,67.65,64.50999999999999,26.105737704918035,23.650983606557375,26.21065573770492,123,127,123,5.822316233317057,0.00877086321512858,0.010870695114135742
04_3_60,2,3_5,57.46000000000001,51.46000000000001,57.46000000000001,19.608840579710147,18.01768115942029,16.684927536231886,117,111,117,4.2482378323872885,0.011853679021199545,0.013044404983520507
04_3_60,3,3_5,57.010000000000005,51.65000000000001,57.010000000000005,20.76123076923077,22.331076923076925,20.63876923076923,116,109,116,5.032934149106343,0.011869017283121746,0.012262288729349773
04_3_60,4,3_5,69.81,63.86000000000001,69.81,26.261315789473684,24.968157894736844,25.811315789473685,129,123,129,3.9988096793492636,0.0129472017288208,0.013866249720255535
04_3_60,5,3_5,69.77000000000001,65.69,69.77000000000001,22.593291139240506,23.097721518987342,22.11151898734177,127,123.01,127,3.9156035502751667,0.015101766586303711,0.014664475123087566
04_3_60,6,3_5,44.62,46.62,44.459999999999994,15.747272727272724,17.90984848484848,14.760757575757573,104,106,103,3.5853403568267823,0.009467713038126628,0.010843833287556967
04_3_60,7,3_5,27.46,21.46,27.46,11.911153846153848,10.62269230769231,11.316153846153847,87,81,87,2.041814096768697,0.006151827176411947,0.006446290016174317
04_3_60,8,3_5,46.85999999999999,48.85999999999999,46.85999999999999,15.867096774193548,16.97790322580645,15.849032258064517,106,107,106,3.066790048281352,0.008446113268534342,0.008603898684183757
04_3_60,9,3_5,44.55000000000001,53.55000000000001,44.55000000000001,16.30136363636364,17.861969696969698,16.30136363636364,104,113,104,4.296028343836467,0.009818410873413086,0.01053150494893392
04_3_60,10,3_5,57.790000000000006,59.790000000000006,57.790000000000006,22.406533333333336,23.4048,22.01986666666667,117,119,117,6.050885065396627,0.016203824679056802,0.015352098147074382
06_3_20,1,3_5,12.88,12.88,12.88,5.899285714285714,5.9350000000000005,4.811428571428571,29,29,29,0.538748296101888,0.002629661560058594,0.003208621342976888
06_3_20,2,3_5,7.790000000000003,7.790000000000003,7.480000000000002,2.8968181818181824,2.8968181818181824,2.586363636363637,26,25.33,24,0.2934530337651571,0.0015497763951619467,0.0014394203821818034
06_3_20,3,3_5,13.950000000000003,13.950000000000003,13.430000000000001,4.923333333333333,4.923333333333333,5.5159259259259255,30,30,30,0.30382115046183267,0.003942561149597168,0.007319490114847819
06_3_20,4,3_5,18.450000000000003,18.450000000000003,14.630000000000003,7.656875,7.409375000000001,6.768125,37.06,37.06,31.36,0.6038282553354899,0.0031466960906982424,0.0027921120325724285
06_3_20,5,3_5,25.66,24.23,24.66,9.03,8.754444444444445,8.349722222222223,45.43,44,43.43,0.6890766859054566,0.004064130783081055,0.0038399378458658854
06_3_20,6,3_5,15.760000000000005,16.869999999999997,16.869999999999997,6.689354838709678,7.080645161290324,6.236129032258066,35,36,36,0.607000756263733,0.0027037143707275392,0.0029280344645182294
06_3_20,7,3_5,15.989999999999998,16.51,12.510000000000002,6.217499999999999,6.425,5.661428571428572,35.29,35,31,0.6181831598281861,0.0026724974314371744,0.005249865849812825
