case,num,MN,FCFS max_delay,last lane change max_delay,out_lane_change max_delay,FCFS mean_delay,last lane change mean_delay,out_lane_change mean_delay,FCFS maxe,last lane change maxe,out_lane_change maxe
04_3_20,1,3_4,5.530000000000001,5.530000000000001,10.700000000000003,1.5127777777777782,1.5127777777777782,3.139444444444445,22.55,22.56,27.55
04_3_20,2,3_4,11.469999999999999,11.469999999999999,8.8,3.819565217391304,3.819565217391304,2.956086956521739,30,30,26.1
04_3_20,3,3_4,11.950000000000001,11.950000000000001,12.61,5.165416666666666,5.165416666666666,5.983333333333333,29.71,29.71,30.23
04_3_20,4,3_4,9.7,9.7,9.7,3.1127777777777776,3.1127777777777776,2.746111111111111,26.47,26.47,24.47
04_3_20,5,3_4,6.800000000000001,6.800000000000001,5.649999999999997,2.0616666666666665,2.117222222222222,1.839444444444444,21.85,21.85,20.75
04_3_20,6,3_4,8.64,8.64,8.620000000000001,3.5047368421052636,3.5047368421052636,2.812105263157895,27.3,27.3,27.3
04_3_20,7,3_4,8.15,8.15,8.15,2.5038095238095233,2.456190476190476,3.278571428571428,23,23,26.85
04_3_20,8,3_4,14.870000000000001,14.870000000000001,9.940000000000001,6.360357142857143,6.360357142857143,4.038928571428571,34,34,28
04_3_20,9,3_4,10.059999999999999,10.059999999999999,9.780000000000001,3.4583999999999997,3.4583999999999997,3.348,29.06,29.06,27.5
04_3_20,10,3_4,11.650000000000002,11.650000000000002,8.419999999999998,3.704615384615385,3.684615384615385,3.706538461538462,29.740000000000002,29.740000000000002,27.509999999999998
04_3_40,1,3_4,15.829999999999998,15.829999999999998,8.919999999999996,5.668918918918918,6.101351351351351,3.099459459459459,50.74,50.74,41.480000000000004
04_3_40,2,3_4,24.54,24.54,13.659999999999997,7.898163265306123,7.955510204081634,6.074897959183674,64,64,52.33
04_3_40,3,3_4,20.259999999999994,20.259999999999994,11.959999999999997,9.984999999999998,9.589347826086954,5.802173913043477,54.36,54.36,47
04_3_40,4,3_4,34.37,34.37,14.369999999999997,10.960754716981132,10.677735849056603,5.999811320754717,71,71,52
04_3_40,5,3_4,29.699999999999996,29.699999999999996,16.660000000000004,9.036538461538461,9.036538461538461,5.958269230769231,67.87,67.87,56
04_3_40,6,3_4,17.430000000000007,17.89,9.760000000000005,5.629761904761906,5.415476190476191,3.710238095238096,54.67,56.67,47
04_3_40,7,3_4,14.170000000000002,14.170000000000002,6.32,3.6510810810810814,3.5429729729729735,2.1978378378378385,52.49,52.49,42.89
04_3_40,8,3_4,18.989999999999995,18.549999999999997,12.279999999999994,6.5042222222222215,6.301333333333332,4.571999999999999,58,57,51
04_3_40,9,3_4,9.020000000000003,9.020000000000003,7.369999999999999,4.4886842105263165,4.4886842105263165,2.579473684210527,49,49,43
04_3_40,10,3_4,29.970000000000002,29.970000000000002,18.860000000000003,9.33,9.253076923076923,5.976346153846154,67.09,67.09,53.59
04_3_60,1,3_4,31.509999999999998,29.509999999999998,21.520000000000003,10.727540983606557,10.950983606557378,6.450655737704919,90,88,80
04_3_60,2,3_4,28.220000000000006,26.910000000000004,17.460000000000008,11.378840579710145,10.995072463768116,8.209565217391305,87,85.69,75
04_3_60,3,3_4,34.010000000000005,35.010000000000005,21.840000000000003,12.931076923076924,13.471230769230772,8.407384615384617,93,93.66,80
04_3_60,4,3_4,41.39000000000001,42.39000000000001,28.390000000000008,17.455526315789474,17.961315789473687,10.949210526315792,100,101,86
04_3_60,5,3_4,48.79,44.79,28.470000000000006,18.136962025316453,17.62772151898734,11.307088607594936,105,101,87.01
04_3_60,6,3_4,28.979999999999997,28.979999999999997,20.619999999999997,13.275454545454542,13.385757575757573,8.061666666666666,87.36,87.36,79.77000000000001
04_3_60,7,3_4,13.93,13.93,8.46,6.681923076923079,6.575000000000002,3.8630769230769246,71,69,64
04_3_60,8,3_4,22.65,22.65,15.679999999999986,8.759193548387096,8.710806451612902,6.9954838709677425,79.75999999999999,79.75999999999999,72.03999999999999
04_3_60,9,3_4,25.29000000000002,25.29000000000002,21.55000000000001,10.655303030303031,10.737424242424243,6.143484848484851,83.74000000000001,83.74000000000001,78.22999999999999
04_3_60,10,3_4,44.230000000000004,44.150000000000006,22.790000000000006,17.024266666666666,16.904266666666665,9.572799999999999,102.44,102.44,82
06_3_20,1,3_4,14.259999999999998,14.259999999999998,11.88,5.361428571428571,5.361428571428571,4.876428571428571,33.03,33.03,27.42
06_3_20,2,3_4,8.480000000000002,8.480000000000002,8.480000000000002,2.521363636363637,2.521363636363637,2.204545454545455,25.240000000000002,25.240000000000002,23
06_3_20,3,3_4,16.950000000000003,16.950000000000003,16.089999999999996,6.33074074074074,6.33074074074074,5.478888888888889,35,35,31
06_3_20,4,3_4,14.850000000000001,14.850000000000001,12.25,5.416875000000001,5.400625000000001,5.15,34.46,34.46,30.48
06_3_20,5,3_4,25.77,25.77,16.64,8.9025,8.9025,6.893055555555556,45.54,45.54,36.43
06_3_20,6,3_4,14.070000000000004,14.070000000000004,12.95,6.929354838709678,6.929354838709678,6.053870967741936,32.8,32.8,31.87
06_3_20,7,3_4,15.669999999999998,15.669999999999998,13.989999999999998,5.867857142857142,5.867857142857142,5.745,33.29,33.29,32.29
06_3_20,8,3_4,18.720000000000006,18.720000000000006,16.5,6.8040625000000015,6.8040625000000015,6.7162500000000005,38.370000000000005,38.370000000000005,36
06_3_20,9,3_4,11.34,11.34,9.630000000000003,4.441666666666666,4.441666666666666,4.73,28.58,28.58,27.3
06_3_20,10,3_4,13.319999999999997,13.319999999999997,10.61,5.622413793103448,5.622413793103448,4.634137931034482,31.68,31.68,29
06_3_40,1,3_4,27.499999999999993,27.499999999999993,20.29999999999999,11.922363636363636,11.976909090909091,7.398727272727271,66.28999999999999,66.28999999999999,54.07000000000001
06_3_40,2,3_4,45.7,45.7,28.700000000000003,18.440757575757573,18.380151515151514,13.199242424242424,85,85,66
06_3_40,3,3_4,42.39,43.39,25.07999999999999,14.333387096774194,14.678225806451612,10.919193548387097,82,83,65.07
06_3_40,4,3_4,39.12,39.12,20.560000000000002,12.018474576271187,11.865084745762712,10.122033898305084,76,76,60
06_3_40,5,3_4,29.200000000000003,29.200000000000003,20.339999999999996,13.201636363636364,13.219818181818182,8.786545454545454,67.35,67.35,55.35
06_3_40,6,3_4,38.14999999999999,38.14999999999999,25.14999999999999,12.905396825396826,12.572063492063492,10.189047619047619,77.6,77.6,64.6
06_3_40,7,3_4,37.790000000000006,37.790000000000006,28.259999999999998,14.011967213114756,14.011967213114756,12.151803278688526,72.87,72.87,63.870000000000005
06_3_40,8,3_4,35.13,35.13,22.860000000000007,12.867796610169494,12.867796610169494,8.962711864406781,75,75,60
06_3_40,9,3_4,52.57999999999999,51.79,29.36,17.246119402985077,17.20134328358209,12.473880597014926,91.78999999999999,91,68.06
06_3_40,10,3_4,51.080000000000005,51.080000000000005,30.950000000000003,18.31058823529412,18.237058823529413,14.353382352941178,90.97,90.97,70
06_3_60,1,3_4,59.13,60.13,39.04,23.345222222222223,23.167444444444445,16.790999999999997,119.09,120.09,99
06_3_60,2,3_4,55.26999999999999,55.26999999999999,38.31999999999999,20.496071428571426,20.419761904761902,14.695714285714285,114.00999999999999,114.00999999999999,98
06_3_60,3,3_4,51.31,52.31,35.400000000000006,18.416516853932585,17.877191011235954,14.167752808988766,109.47,110.47,93.56
06_3_60,4,3_4,54.48999999999999,54.48999999999999,30.89,21.961860465116278,22.36023255813953,12.946744186046509,112.25999999999999,112.25999999999999,90
06_3_60,5,3_4,79.59,79.66,53.660000000000004,26.621176470588235,26.454509803921567,20.796666666666667,138,139,112
06_3_60,6,3_4,62.980000000000004,61.82,33.639999999999986,27.058571428571426,26.29153846153846,17.924615384615382,122.4,121.4,93
06_3_60,7,3_4,74.44,74.44,48.260000000000005,32.355242718446604,32.620485436893205,19.77747572815534,132,132,105
06_3_60,8,3_4,70.67999999999999,70.67999999999999,47.67999999999999,26.713936170212765,26.284787234042554,18.25627659574468,129.0,129.0,106
06_3_60,9,3_4,57.91999999999999,57.91999999999999,38.96999999999999,24.235104166666662,24.360104166666662,20.480312499999997,117.22,117.22,98
06_3_60,10,3_4,82.31,82.31,44.309999999999995,32.711782178217824,32.24465346534653,22.751386138613864,140.41,140.41,101.34
08_3_20,1,3_4,29.28,29.28,21.28,12.848205128205128,12.848205128205128,9.302307692307693,49.06,49.06,40.730000000000004
08_3_20,2,3_4,20.509999999999998,20.509999999999998,15.46,7.11125,7.11125,7.20125,37.05,37.05,33.14
08_3_20,3,3_4,29.98,29.98,20.67,11.133333333333333,11.133333333333333,9.481904761904762,49.120000000000005,49.120000000000005,39.120000000000005
08_3_20,4,3_4,27.950000000000003,27.950000000000003,20.28,11.373500000000002,11.373500000000002,9.051,46.980000000000004,46.980000000000004,37.18
08_3_20,5,3_4,33.03,33.03,22.46,12.376511627906977,12.376511627906977,9.873720930232558,52.68,52.68,42.11
08_3_20,6,3_4,25.94,25.94,18.159999999999997,9.113783783783783,9.14081081081081,7.523513513513513,43,43,37.519999999999996
08_3_20,7,3_4,24.16,24.16,20.450000000000003,7.891562500000001,7.985312500000001,6.404062500000001,41,41,35
08_3_20,8,3_4,25.71,25.71,20.630000000000003,10.332619047619048,10.332619047619048,8.382380952380954,44.85,44.85,40
08_3_20,9,3_4,30.400000000000002,30.400000000000002,22.169999999999998,12.541463414634146,12.541463414634146,10.605365853658537,50,50,41
08_3_20,10,3_4,35.769999999999996,35.769999999999996,28.599999999999994,17.111590909090907,17.111590909090907,13.614999999999998,52.3,52.3,43.769999999999996
08_3_40,1,3_4,54.440000000000005,54.440000000000005,33.089999999999996,21.069166666666668,21.069166666666668,14.672361111111114,92,92,72
08_3_40,2,3_4,39.35,39.35,25.410000000000004,16.245396825396824,16.356507936507935,12.003809523809524,78.94,78.94,63.28
08_3_40,3,3_4,50.12,50.12,31.479999999999997,20.994647887323946,20.994647887323946,15.535211267605634,89,89,71.21000000000001
08_3_40,4,3_4,61.13,61.13,38.93,26.057142857142857,25.523896103896103,18.875974025974028,100.66,100.66,77.61
08_3_40,5,3_4,60.68,60.68,38.300000000000004,23.682025316455697,23.682025316455697,18.464936708860762,98,98,74.06
08_3_40,6,3_4,52.44,52.44,39.44,21.054473684210524,21.054473684210524,18.424605263157893,91.44,91.44,76.44
08_3_40,7,3_4,44.309999999999995,44.309999999999995,36.699999999999996,18.33554054054054,18.33554054054054,15.12378378378378,83.69,83.69,73.69
08_3_40,8,3_4,43.63,43.63,30.630000000000003,18.224637681159418,18.40927536231884,14.463768115942027,82,82,69
08_3_40,9,3_4,73.8,73.8,45.42,26.992247191011234,26.992247191011234,20.620449438202247,113.38,113.38,84
08_3_40,10,3_4,66.92,66.92,38.84,24.033012048192774,23.91204819277109,17.921927710843374,106.34,106.34,77.34
08_3_60,1,3_4,94.39,97.05,61.83,36.81666666666666,36.98760683760684,27.68982905982906,154,156.44,120
08_3_60,2,3_4,91.34,91.34,56.3,35.63125,35.24375,25.435803571428572,149.3,149.3,114
08_3_60,3,3_4,84.17,82.17,53.17,32.8551376146789,32.02944954128441,23.791284403669724,142,140,112
08_3_60,4,3_4,97.22,97.22,56.75000000000001,41.64433333333333,41.34433333333333,27.17425,157,157,116.24000000000001
08_3_60,5,3_4,74.97,73.97,50.39999999999999,32.99317757009346,32.722149532710276,25.384953271028035,134,133,110
08_3_60,6,3_4,107.49999999999999,107.49999999999999,65.98,47.652480000000004,47.64448000000001,29.798080000000002,167.26999999999998,167.26999999999998,125.17
08_3_60,7,3_4,98.61999999999998,98.53999999999999,52.91999999999999,40.92252173913043,40.65417391304348,27.665826086956518,158.14,157.14,111.3
08_3_60,8,3_4,91.91,93.91,58.4,40.155175438596494,40.01482456140351,27.867368421052632,151.45,153.45,115
08_3_60,9,3_4,100.69000000000001,102.97,59.78,43.699829059829064,43.64752136752137,27.204529914529918,160.46,162.19,117.0
08_3_60,10,3_4,86.04999999999998,86.04999999999998,52.80999999999999,34.64934579439252,35.18616822429906,23.275140186915884,146,146,112
04_3_20,1,3_5,5.98,5.150000000000002,10.780000000000001,2.0183333333333335,1.9561111111111114,3.8911111111111114,23.56,24,26.55
04_3_20,2,3_5,8.36,8.36,6.800000000000001,2.7317391304347822,2.7752173913043476,2.266086956521739,24.25,24.25,24
04_3_20,3,3_5,13.600000000000005,13.600000000000005,11.98,4.950416666666667,4.950416666666667,5.575833333333334,32.230000000000004,32.230000000000004,30.23
04_3_20,4,3_5,5.24,5.24,5.0,1.97,1.97,1.6922222222222223,21.47,21.47,20.47
04_3_20,5,3_5,7.799999999999999,7.799999999999999,5.919999999999996,1.9838888888888886,2.039444444444444,1.4072222222222217,21.85,21.85,20.72
04_3_20,6,3_5,7.68,7.68,7.51,2.8515789473684214,2.8515789473684214,2.3647368421052635,26.69,26.69,24.69
04_3_20,7,3_5,8.59,8.59,9.459999999999997,3.038095238095238,3.0657142857142854,3.72095238095238,25.85,25.85,26.72
04_3_20,8,3_5,12.720000000000002,12.720000000000002,11.870000000000001,3.8525000000000005,3.8525000000000005,3.793214285714286,31.85,31.85,31
04_3_20,9,3_5,10.8,10.8,9.12,4.3012,4.3012,3.4804,28.45,28.45,27.06
04_3_20,10,3_5,11.310000000000002,11.310000000000002,11.310000000000002,4.525384615384615,4.525384615384615,4.379615384615384,29.509999999999998,29.509999999999998,28.18
04_3_40,1,3_5,9.919999999999996,9.919999999999996,10.269999999999998,4.568648648648648,4.54027027027027,3.945945945945946,45,44.65,42
04_3_40,2,3_5,22.63,22.63,21.659999999999997,6.40734693877551,6.346122448979592,5.77469387755102,61.33,61.33,60.7
04_3_40,3,3_5,11.459999999999994,11.459999999999994,12.079999999999995,6.164347826086955,6.073478260869564,5.742826086956519,50,50,49
04_3_40,4,3_5,23.479999999999997,23.479999999999997,18.019999999999996,9.663962264150943,9.13566037735849,8.376415094339622,56,56,55
04_3_40,5,3_5,22.660000000000004,22.61,17.259999999999998,6.975961538461537,7.075961538461537,6.574038461538461,61.76,61.209999999999994,56.599999999999994
04_3_40,6,3_5,12.620000000000005,13.620000000000005,11.649999999999999,3.6380952380952385,3.98952380952381,3.2980952380952395,48.67,48.67,47.050000000000004
04_3_40,7,3_5,8.320000000000007,9,9,3.5943243243243246,3.6213513513513513,2.790540540540541,45.730000000000004,45,42.14
04_3_40,8,3_5,14.86,14.639999999999993,11.639999999999993,5.340222222222221,5.1066666666666665,4.1866666666666665,54,54,51.4
04_3_40,9,3_5,11.370000000000001,11.370000000000001,11.370000000000001,5.034473684210527,4.996315789473685,3.9586842105263167,44.33,44.33,43.33
04_3_40,10,3_5,21.779999999999998,22.77,19.779999999999998,8.679423076923076,9.315576923076922,7.621346153846153,59.59,60.01,57
04_3_60,1,3_5,26.65,26.770000000000003,26.65,9.262295081967213,9.898852459016394,8.826229508196722,85.25,85.25,85.12
04_3_60,2,3_5,25.01999999999999,25.01999999999999,23.200000000000003,9.225797101449276,9.364492753623189,8.990144927536232,83,83,82
04_3_60,3,3_5,25.010000000000005,25.010000000000005,25.010000000000005,9.13969230769231,9.20123076923077,8.560923076923078,83,84,83
04_3_60,4,3_5,34.01000000000001,34.01000000000001,32.81000000000001,13.748421052631581,14.327368421052633,12.941973684210527,93.15,92,90
04_3_60,5,3_5,33.46,34.56,31.000000000000007,13.087848101265822,12.960886075949366,11.56240506329114,92,90.25,89.25
04_3_60,6,3_5,26.1,23.61,20.709999999999994,10.28681818181818,9.37772727272727,7.055454545454544,85,81,79.25
04_3_60,7,3_5,11.920000000000009,11.920000000000009,9.920000000000009,5.155769230769233,4.647884615384617,4.228846153846154,67,67.41999999999999,66
04_3_60,8,3_5,19.309999999999995,19.60000000000001,16.679999999999986,7.065967741935485,6.7762903225806435,6.45193548387097,76.75999999999999,76.03999999999999,75.03999999999999
04_3_60,9,3_5,23.57999999999999,23.57999999999999,22.35,7.991060606060608,7.966212121212123,6.755151515151517,82.22999999999999,82.22999999999999,81
04_3_60,10,3_5,38.06999999999999,35.790000000000006,34.019999999999996,13.8252,12.947066666666666,11.58,96.05,94,92
06_3_20,1,3_5,13.869999999999997,13.869999999999997,12.88,4.936428571428571,4.936428571428571,3.9425,31.03,31.03,26.42
06_3_20,2,3_5,6.890000000000004,6.890000000000004,5.790000000000003,2.424545454545455,2.424545454545455,2.5295454545454548,25.240000000000002,25.240000000000002,24.04
06_3_20,3,3_5,11.950000000000003,11.950000000000003,11.430000000000001,5.378888888888889,5.378888888888889,5.326296296296296,30,30,28
06_3_20,4,3_5,15.79,15.79,15.79,6.605,6.605,6.591875,34.36,34.36,34.36
06_3_20,5,3_5,23.689999999999998,23.689999999999998,23.46,9.408611111111112,9.408611111111112,8.426388888888889,43.54,43.54,43.43
06_3_20,6,3_5,11.999999999999996,11.999999999999996,10.93,4.297741935483871,4.297741935483871,4.044516129032258,31.13,31.13,30
06_3_20,7,3_5,16.669999999999998,16.669999999999998,13.510000000000002,5.108214285714285,5.1796428571428565,4.583571428571428,34.29,34.29,29.810000000000002
06_3_20,8,3_5,17.720000000000006,17.720000000000006,13.860000000000001,6.461562500000001,6.461562500000001,5.7965625,36.370000000000005,36.370000000000005,32.15
06_3_20,9,3_5,8.630000000000003,8.630000000000003,11.630000000000003,3.075833333333334,3.105000000000001,3.920000000000001,24.3,24.3,25.58
06_3_20,10,3_5,12.29,12.29,12.29,4.369655172413793,4.369655172413793,4.141379310344828,31.68,31.68,31.68
06_3_40,1,3_5,31.79,29.58,27.809999999999995,11.306363636363635,11.418181818181816,10.237090909090908,65.28999999999999,65.28999999999999,65
06_3_40,2,3_5,34.04,34.04,31.04,14.441515151515151,15.051363636363636,13.211060606060606,74,74,71
